Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 12.3, 'memory': 39.1, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 11.7, 'memory': 39.1, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 11.5, 'memory': 39.1, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 8.3, 'memory': 39.1, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 8.4, 'memory': 39.1, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 8.3, 'memory': 39.1, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 4.9, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 4.5, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 4.4, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 3.0, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 3.1, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 2.8, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 5.6, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 5.6, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 5.9, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 7.4, 'memory': 38.9, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 7.3, 'memory': 38.9, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 7.3, 'memory': 38.9, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 4.9, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 5.0, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 4.9, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 3.5, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 3.4, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 3.5, 'memory': 39.0, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 3.7, 'memory': 38.9, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 3.7, 'memory': 38.9, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 3.6, 'memory': 38.9, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 5.0, 'memory': 38.9, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 5.1, 'memory': 38.9, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 5.3, 'memory': 38.9, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 18.2, 'memory': 37.6, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 18.2, 'memory': 37.6, 'switches': {}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 18.0, 'memory': 37.6, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 6.5, 'memory': 37.6, 'switches': {}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 6.4, 'memory': 37.6, 'switches': {}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 344, 'cpu': 11.3, 'memory': 38.8, 'switches': {6: 35, 1: 48, 3: 39, 8: 33, 2: 44, 7: 34, 9: 29, 4: 42, 5: 40}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 11.8, 'memory': 38.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 12.3, 'memory': 39.0, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 74, 'cpu': 11.7, 'memory': 38.8, 'switches': {6: 8, 1: 10, 3: 8, 8: 8, 2: 10, 7: 7, 9: 7, 4: 8, 5: 8}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 10.6, 'memory': 38.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 9.8, 'memory': 38.9, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 96, 'cpu': 9.0, 'memory': 38.8, 'switches': {6: 12, 1: 8, 3: 11, 8: 12, 2: 8, 7: 11, 9: 12, 4: 11, 5: 11}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 9.2, 'memory': 38.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 9.4, 'memory': 38.8, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 179, 'cpu': 7.7, 'memory': 38.7, 'switches': {6: 19, 1: 21, 3: 19, 8: 20, 2: 22, 7: 21, 9: 19, 4: 19, 5: 19}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 7.7, 'memory': 38.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 7.6, 'memory': 38.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 22, 'cpu': 4.5, 'memory': 38.7, 'switches': {6: 2, 1: 4, 3: 3, 8: 1, 2: 3, 7: 1, 9: 2, 4: 3, 5: 3}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 4.5, 'memory': 38.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 4.5, 'memory': 38.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 14.8, 'memory': 38.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 14.7, 'memory': 38.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 14.4, 'memory': 38.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 70, 'cpu': 11.2, 'memory': 38.7, 'switches': {6: 8, 1: 7, 3: 8, 8: 8, 2: 7, 7: 8, 9: 8, 4: 8, 5: 8}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 11.3, 'memory': 38.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 11.6, 'memory': 38.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
